Model	scenario	demo	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params
SC_ae	SC	AE	Round_4_Replicate_10	-466.7952	949.5904	57.1295	76.4004	12.9873,15.969,20.9895,6.5339,0.844,0.1012,7.7544,1.7589
SC_ae	SC	AE	Round_4_Replicate_4	-466.7982	949.5964	57.5311	79.3446	12.6042,15.3794,20.5031,6.242,0.7964,0.0986,8.067,1.6834
SC_ae_b	SC	AEB	Round_4_Replicate_2	-466.2788	950.5576	56.1179	71.2198	13.8842,20.0244,71.9677,0.757,6.9934,0.9269,0.1964,3.8648,1.582
SC_ae_b	SC	AEB	Round_4_Replicate_18	-466.3265	950.653	57.379	70.5208	15.0874,27.04,33.207,0.0828,6.7687,0.75,0.641,1.0574,2.3279
two_ep_b	two_ep	B	Round_4_Replicate_14	-466.766	951.532	59.5493	120.7612	16.7688,20.2136,0.0085,3.2915,0.6129,8.4357,96.7175,1.3741,4.237
IM_ae	IM	AE	Round_3_Replicate_10	-468.9675	951.935	65.4736	54.5177	18.2156,25.0479,29.3396,9.476,1.4074,2.022,0.3337
IM_ae	IM	AE	Round_3_Replicate_16	-468.9772	951.9544	65.5615	62.1218	16.0655,21.9686,25.8622,8.1858,1.2279,2.3212,0.3679
IM_ae	IM	AE	Round_4_Replicate_3	-468.9782	951.9564	65.501	61.9548	16.017,21.8739,25.9262,8.1982,1.2532,2.3281,0.3594
IM_ae	IM	AE	Round_3_Replicate_20	-468.9834	951.9668	65.5188	67.5277	14.8349,20.3834,23.7902,7.4561,1.1104,2.4858,0.4169
IM_ae	IM	AE	Round_4_Replicate_1	-468.9876	951.9752	65.5062	68.4942	14.6318,20.1698,23.3445,7.3492,1.0869,2.5004,0.4488
IM_ae	IM	AE	Round_4_Replicate_5	-468.9944	951.9888	65.5232	72.8371	13.8034,19.033,21.7769,6.8395,1.0261,2.6702,0.473
IM_ae	IM	AE	Round_4_Replicate_17	-468.9975	951.995	65.5656	75.7941	13.289,18.1353,21.1955,6.5061,0.9876,2.793,0.4583
IM_ae	IM	AE	Round_4_Replicate_20	-469.0044	952.0088	65.5539	73.5968	13.5362,18.2863,22.3249,6.7251,1.0503,2.8017,0.3676
IM_ae	IM	AE	Round_4_Replicate_12	-469.0075	952.015	65.5878	80.8038	12.3983,16.8141,19.9509,6.0185,0.9485,3.0237,0.4633
two_ep_b	two_ep	B	Round_3_Replicate_8	-467.0965	952.193	61.4602	86.0719	19.9811,26.4922,0.0224,5.1903,1.0898,0.0659,79.7244,1.6292,2.058
SC_ae_b	SC	AEB	Round_4_Replicate_13	-467.1219	952.2438	61.0712	250.2659	0.0078,5.744,10.6129,0.1407,1.6949,3.4283,0.3837,8.5286,2.2383
SC_ae_b	SC	AEB	Round_4_Replicate_6	-467.1221	952.2442	61.133	318.8686	0.0105,4.5271,8.2992,0.1395,1.3468,2.686,0.3011,10.8668,2.8604
SC_ae_b	SC	AEB	Round_4_Replicate_1	-467.1228	952.2456	61.0676	1738.5365	0.003,0.8293,1.5229,0.1398,8.682,0.491,0.0553,59.1184,15.5744
SC_ae_b	SC	AEB	Round_4_Replicate_6	-467.1251	952.2502	61.0927	285.0163	0.0245,5.0486,9.3362,0.1408,0.3915,2.9994,0.3367,9.7074,2.5288
SC_ae_b	SC	AEB	Round_4_Replicate_12	-467.128	952.256	61.0954	886.1016	0.019,1.6252,3.0049,0.1402,1.2771,0.9499,0.108,30.1587,7.9433
SC_b	SC	B	Round_3_Replicate_9	-469.622	953.244	67.4535	50.9673	23.2589,40.7859,0.7709,9.3776,2.4255,2.1981,0.0489
SC_b	SC	B	Round_4_Replicate_8	-469.646	953.292	67.5748	61.3032	19.4203,34.1797,0.7776,7.5816,2.0338,2.6459,0.0488
two_ep_ae	two_ep	AE	Round_3_Replicate_19	-466.7804	953.5608	57.3617	66.421	14.9888,18.1841,24.4051,7.6679,0.9684,0.1103,0.0549,0.0081,6.9478,1.504
two_ep_ae	two_ep	AE	Round_3_Replicate_9	-466.7922	953.5844	57.4992	70.4897	14.1553,16.7287,23.5643,7.1655,0.9261,0.0841,0.2323,0.0008,8.2661,1.8143
two_ep_ae	two_ep	AE	Round_4_Replicate_11	-466.8096	953.6192	57.4283	76.1401	13.0629,15.7196,21.4436,6.5485,0.8344,0.1141,0.0354,0.006,7.1085,1.3933
two_ep_ae_b	two_ep	AEB	Round_4_Replicate_7	-465.9749	953.9498	58.2881	527.2421	0.7347,3.0359,4.6083,0.0411,1.871,1.1526,0.1844,0.801,0.082,13.2402,9.0478
two_ep_ae	two_ep	AE	Round_4_Replicate_3	-467.0021	954.0042	58.2214	95.0464	10.6447,12.3501,17.5977,5.0267,0.7068,0.028,0.7159,0.0719,19.1226,4.3319
AM_ae	AM	AE	Round_4_Replicate_12	-469.0244	954.0488	65.5157	72.7575	13.7762,18.9899,22.0609,6.8477,1.0295,0.0019,2.7057,0.4516
AM_ae	AM	AE	Round_4_Replicate_18	-469.0278	954.0556	65.5402	81.2098	12.3491,17.0247,19.5285,6.018,0.9243,0.001,2.9849,0.5494
AM_ae	AM	AE	Round_4_Replicate_5	-469.0317	954.0634	65.7198	82.2067	12.2897,16.9698,19.3054,5.9218,0.8974,0.0011,3.0003,0.5622
SC_ae	SC	AE	Round_4_Replicate_12	-469.0454	954.0908	65.5037	98.6676	10.2493,14.0778,16.0434,4.7504,0.0105,0.7412,3.5604,0.6765
